Code,Group,Household name,Relationship,Side,Category,Adults invited,Children invited,Phone,WhatsApp,Email,City,Expected cash gift,Cash gift received,Notes
G001,Family & Relatives,Household 001,,Groom,Relatives,4,0,,,,,10000,,
G002,Family & Relatives,Household 002,,Groom,Relatives,4,0,,,,,5000,,
G003,Family & Relatives,Household 003,,Groom,Relatives,3,0,,,,,5000,,
G004,Family & Relatives,Household 004,,Groom,Relatives,3,0,,,,,5000,,
G005,Family & Relatives,Household 005,,Groom,Relatives,2,0,,,,,5000,,
G006,Family & Relatives,Household 006,,Groom,Relatives,1,0,,,,,5000,,
G007,Family & Relatives,Household 007,,Groom,Relatives,2,0,,,,,5000,,
G008,Family & Relatives,Household 008,,Groom,Relatives,1,0,,,,,5000,,
G009,Family & Relatives,Household 009,,Groom,Relatives,2,0,,,,,5000,,
G010,Family & Relatives,Household 010,,Groom,Relatives,1,0,,,,,5000,,
G011,Family & Relatives,Household 011,,Groom,Relatives,1,0,,,,,5000,,
G012,Family & Relatives,Household 012,,Groom,Relatives,1,0,,,,,5000,,
G013,Family & Relatives,Household 013,,Groom,Relatives,4,0,,,,,10000,,
G014,Family & Relatives,Household 014,,Groom,Relatives,4,0,,,,,5000,,
G015,Family & Relatives,Household 015,,Groom,Relatives,2,0,,,,,5000,,
G016,Family & Relatives,Household 016,,Groom,Relatives,1,0,,,,,5000,,
G017,Family & Relatives,Household 017,,Groom,Relatives,3,0,,,,,10000,,
G018,Family & Relatives,Household 018,,Groom,Relatives,6,0,,,,,10000,,
G019,Family & Relatives,Household 019,,Groom,Relatives,9,0,,,,,10000,,
G020,Family & Relatives,Household 020,,Groom,Relatives,1,0,,,,,5000,,
G021,Family & Relatives,Household 021,,Groom,Relatives,2,0,,,,,5000,,
G022,Family & Relatives,Household 022,,Groom,Relatives,1,0,,,,,5000,,
G023,Family & Relatives,Household 023,,Groom,Immediate Family,1,0,,,,,10000,,
G024,Family & Relatives,Household 024,,Groom,Immediate Family,4,0,,,,,0,,
G025,Family & Relatives,Household 025,,Groom,Immediate Family,5,0,,,,,0,,
G026,Family & Relatives,Household 026,,Groom,Relatives,16,0,,,,,30000,,
G027,Family & Relatives,Household 027,,Groom,Relatives,3,0,,,,,10000,,
G028,Family & Relatives,Household 028,,Groom,Relatives,0,0,,,,,20000,,
G029,Family & Relatives,Household 029,,Groom,Relatives,0,0,,,,,5000,,
